ticker,source,dividend_date,dividend_amount,notes
SRU-UN.TO,yfinance,2021-01-28 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-02-25 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-03-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-04-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-05-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-06-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-07-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-08-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-09-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-10-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-11-29 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-12-30 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-01-28 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-02-25 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-03-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-04-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-05-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-06-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-07-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-08-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-09-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-10-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-11-29 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-12-29 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-01-30 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-02-27 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-03-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-04-27 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-05-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-06-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-07-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-08-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-09-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-10-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-11-29 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2023-12-28 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-01-30 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-02-28 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-03-27 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-04-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-05-31 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-06-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-07-31 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-08-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-09-27 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-10-31 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-11-29 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2024-12-31 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-01-31 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-02-28 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-03-31 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-04-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-05-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-06-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-07-31 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-08-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-09-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-10-31 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-11-28 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2025-12-31 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2026-01-30 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2026-02-27 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2026-03-31 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2026-04-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2026-05-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2026-06-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
